function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
326;libigc.so.1.0.1;void std::vector<std::pair<unsigned short, unsigned int>, std::allocator<std::pair<unsigned short, unsigned int> > >::_M_realloc_insert<std::pair<unsigned short, unsigned int> >(__gnu_cxx::__normal_iterator<std::pair<unsigned short, unsigned int>*, std::vector<std::pair<unsigned short, unsigned int>, std::allocator<std::pair<unsigned short, unsigned int> > > >, std::pair<unsigned short, unsigned int>&&);;0.01;0.01;0;0.01;0.02;0.024691736325622;2;"0,0,0,0,0,0,0,0,0,100";
169;libgomp.so.1.0.0;GOMP_parallel;;0.01;0.01;0;0.01;0.02;0.024691736325622;2;"0,0,100,0,0,0,0,0,0,0";
5705;libLLVM-13.so;llvm::Value::setValueName(llvm::StringMapEntry<llvm::Value*>*);;0.01;0.01;0;0.01;0.02;0.024379555135965;2;"0,0,0,0,0,0,0,0,0,100";
1657;libc.so.6;__GI___clock_gettime;;0.01;0.01;0;0.01;0.02;0.016481967642903;2;"0,0,0,0,100,0,0,0,0,0";
1260;libc.so.6;unlink_chunk.constprop.0;;0.01;0.01;0;0.01;0.02;0.016481967642903;2;"0,0,0,0,0,0,100,0,0,0";
3747;libmpi.so.12.2.2;MPIDI_POSIX_progress.constprop.0;;0.01;0.01;0.01;0.01;0.01;0.0001248732150998;2;"0,100,0,0,0,0,0,0,0,0";
1584;libfabric.so.1.17.0;sock_pe_progress_tx_ctx;;0.01;0.01;0.01;0.01;0.01;0.0001248732150998;2;"0,0,0,0,0,0,0,0,0,100";
1582;libfabric.so.1.17.0;sock_pe_progress_ep_rx;;0.01;0.01;0.01;0.01;0.01;0.0001248732150998;2;"0,0,0,0,0,0,0,0,0,100";
271;libgomp.so.1.0.0;gomp_team_barrier_wait_final;;0.01;0.01;0.01;0.01;0.01;1.3718798982154e-05;2;"0,0,100,0,0,0,0,0,0,0";
6;libfabric.so.1.17.0;pthread_spin_lock@plt;;0.01;0.01;0.01;0.01;0.01;0.0001248732150998;2;"0,0,0,0,0,0,0,0,0,100";
12551;libLLVM-13.so;llvm::Constant** std::__rotate_adaptive<llvm::Constant**, llvm::Constant**, long>(llvm::Constant**, llvm::Constant**, llvm::Constant**, long, long, llvm::Constant**, long);;0.01;0.01;0;0.01;0.01;0.016232222318649;2;"0,0,0,0,0,0,0,0,0,100";
303;libigc.so.1.0.1;std::_Rb_tree<int, std::pair<int const, bool>, std::_Select1st<std::pair<int const, bool> >, std::less<int>, std::allocator<std::pair<int const, bool> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, bool> >, int const&);;0.01;0.01;0;0.01;0.01;0.016232222318649;2;"0,0,0,0,0,0,0,0,0,100";
27;libfabric.so.1.17.0;clock_gettime@plt;;0.01;0.01;0;0.01;0.01;0.016232222318649;2;"0,0,0,0,0,0,0,0,0,100";
4593;libmpi.so.12.2.2;MPIDU_genq_private_pool_alloc_cell;;0.01;0.01;0.02;0.02;0.02;0;1;"0,100,0,0,0,0,0,0,0,0";
4571;libmpi.so.12.2.2;Init_shm_barrier;;0.01;0.01;0.02;0.02;0.02;0;1;"0,100,0,0,0,0,0,0,0,0";
2501;libLLVM-13.so;llvm::AttributeList::removeAttributes(llvm::LLVMContext&, unsigned int, llvm::AttrBuilder const&) const;;0.01;0;0.02;0.02;0.02;0;1;"0,0,0,0,0,0,0,0,0,100";
2001;libmpi.so.12.2.2;MPIDIU_comm_rank_to_av;;0.01;0;0.02;0.02;0.02;0;1;"0,100,0,0,0,0,0,0,0,0";
163;libmpi.so.12.2.2;pthread_self@plt;;0.01;0;0.02;0.02;0.02;0;1;"0,100,0,0,0,0,0,0,0,0";
